gdp,popdens,medianage,landarea,humidity,temp,ghsi,sars,covidpercapita
22,60.00,18,652860,56.9,6.21,32.3,0,0.9247759974
15.7,105.00,36,27400,69.9,13.95,52.9,0,9.034688687
178,18.00,29,2381740,61.7,19.6,23.6,0,8.939353873
3.35,164.00,44.9,470,75.23,7.38,30.5,0,478.8714166
100,26.00,17,1246700,80,25,25.2,0,0.0608526577
1.62,223.00,34,440,75.15,25.8,29,0,30.63443924
450,17.00,32,2736690,43.6,32.8,58.6,0,3.252516485
13.3,104.00,35,28470,58.5,7.1,50.2,0,8.099234521
1450,3.00,38,7682300,64.2,25.8,75.5,0,2.627462933
459,109.00,43,82409,65.35,9.47,58.5,0,54.51680017
57,123.00,32,82658,68.08,10.17,34.2,0,1.972546687
13,39.00,32,10010,76.6,23.3,30.6,0,22.8865539
39.3,2239.00,32,760,63.5,20.37,39.4,0,4.113835711
286,1265.00,28,130170,42.35,30.28,35,0,0.6679240519
4.7,668.00,40,430,74.95,26.9,31.9,0,17.39886907
60.45,47.00,40,202910,81.5,3.98,35.3,0,5.820522804
532,383.00,42,30280,78.4,9.5,61,0,517.5319335
10.4,108.00,19,112760,69,35.1,28.8,0,5.029826873
2.53,20.00,28,38117,73.68,8.67,40.3,0,0.08248647222
39,11.00,26,1083300,70.7,20.3,35.8,0,0
20,64.00,43,51000,81.7,7.97,42.8,0,2.912699292
2020,25.00,33,8358140,81.7,25.8,59.7,0,15.544899
12.6,83.00,32,5270,81.75,29.18,32.6,0,0.4252375058
67.3,64.00,45,108560,73.5,9.3,45.6,0,12.89521791
13.8,76.00,18,273600,11,37.8,30.1,0,2.285824005
1.9,138.00,28,4030,50,21.6,29.3,0,6.476269151
23.8,95.00,26,176520,55.5,35.5,39.2,0,1.81789713
38,56.00,19,472710,65.4,35.1,34.4,0,0.09189521005
1740,4.00,41,9093510,88.6,-1.87,75.3,38,0.08409874404
2.3,8.00,18,622980,33.9,40.2,27.3,0,1.798603205
11.6,13.00,17,1259200,22,28,28.8,0,0
300,26.00,35,743532,36.4,25.9,58.3,0,1.619838089
14200,153.00,38,9388211,39,9.9,48.2,646,50.55355346
370,46.00,31,1109500,79.7,21.1,44.2,0,0
45,16.00,19,341500,80,26,23.6,0,0
48.994,38.28,16.8,9965,80,25,26.5,0,7.689812427
60,100.00,33,51060,80,26,45.1,0,3.220957006
44.439,81.00,58.8,322463,53.9,38.1,35.5,0,3.851982388
61.35,73.00,44,55960,66.6,11.9,53.3,0,1.087333346
97,106.00,42,106440,77,27.4,35.2,0,0.2791381015
25,131.00,37,9240,71.1,15.4,43,0,1.177829018
247,139.00,43,77240,72.5,7.9,52,0,0.492829819
352,137.00,42,42430,81.7,6.2,70.4,0,11.69229675
2.05,43.00,27,23180,70.7,27.3,23.2,0,3.354929663
82,225.00,28,48320,80,25,38.3,0,9.939048783
109,71.00,28,248360,73.25,19.27,50.1,0,18.7692928
280,103.00,25,995450,52.1,21.3,39.9,0,63.87898765
26,313.00,28,20720,62,23,44.2,0,2.024291498
13.7,50.00,22,28050,78.6,28.7,16.2,0,0
6.5,35.00,19,101000,50,23,22.4,0,22.58499564
30.9,31.00,42,42390,82.4,3.2,57,0,29.47335535
4.7,12034.00,21,17200,78.7,27.5,31.1,0,2.579777569
94,115.00,19,1000000,56.4,22.6,40.6,0,1.0792135
5.6,49.00,28,18270,81,25,25.7,0,0
291,18.00,43,303890,81.3,2.8,68.7,0,0
2890,119.00,42,547557,73,11.3,68.2,1,32.4152774
15.5,9.00,23,257670,77.4,29.5,20,0,0.861947104
1.67,239.00,18,10120,43.5,30,34.2,0,0.02609521895
20,57.00,38,69490,59,10,52,0,0
4040,240.00,46,348560,74.2,8.5,66,0,25.44795622
66,137.00,22,227540,71.6,31.4,35.5,0,319.1034109
222,81.00,46,128900,66.4,14.9,53.8,0,0.449289987
85.3,167.00,23,107160,73,27.1,32.7,0,0.4137928751
11.4,53.00,18,245720,78.6,28.7,32.7,0,1.002715605
3.8,4.00,27,196850,77.9,31,31.7,0,60.07117688
10,414.00,24,27560,42,25,31.5,0,0.2896410832
24.9,89.00,24,111890,69.1,28.5,27.6,0,11.60888162
170,107.00,43,90530,64.7,9.8,54,0,0
24.7,3.00,37,100250,74.7,0.7,46.3,0,0.3907216338
2800,464.00,28,2973190,44.3,26.5,46.5,0,0.456871519
1126,151.00,30,1811570,62,32.9,56.6,0,0
485,52.00,32,1627550,44.3,11.9,37.7,0,8.899602315
226,93.00,21,434320,41.8,20.3,25.8,0,0.2630995513
381,72.00,38,68890,80.1,8.3,59,0,4.644303403
375,400.00,30,21640,73.6,13.8,47.3,0,22.04888829
2030,206.00,47,294140,64.8,15.8,56.2,0,29.30463042
15.72,273.00,31,10830,74.3,28.5,29,0,0.4673898192
5110,347.00,48,364555,51,13.3,59.8,0,2.252090738
44.4,115.00,24,88780,70.3,13.6,42.1,0,63.0648175
168,7.00,31,2699700,89.1,-4.82,40.7,0,2.06352202
89,94.00,20,569140,71.4,26.1,47.1,0,147.8395378
1690,527.00,44,97230,63.5,5.9,70.2,0,21.25807359
140,240.00,37,17820,49.8,19.9,46.1,0,407.6621834
8.35,34.00,26,191800,65.6,7.3,49.3,0,2.026228173
35.8,30.00,44,62200,78.7,4.8,62.9,0,2.079438323
56.9,667.00,30,10230,66,16,43.1,0,0.6860637134
3.22,53.00,19,96320,79.8,30.3,35.1,0,1.011892021
6.215,238.00,41.42,160,79,5.9,43.5,0,0.2603619597
54.3,43.00,45,62674,80.9,4.42,55,0,4.622659791
72.1,242.00,40,2590,84.1,8,43.8,0,6.486486486
12.8,48.00,20,581795,82,27,40.1,0,2.575767971
370,99.00,30,328550,72.7,33.9,62.2,2,1.072929304
5.8,1802.00,30,300,75.1,28.3,33.8,0,0
15.1,1380.00,43,320,73.1,15.6,37.3,0,4.77150331
6,5.00,20,1030700,30.8,30.9,27.5,0,3.07672247
14.7,626.00,37,2030,79.3,28.2,34.9,0,1.581752586
1200,66.00,29,1943950,42.4,26.9,57.6,0,0.145533038
12,123.00,38,32850,64.6,10.5,42.9,0,26.2274444
7,26337.00,53.1,2.2,62.2,14.1,32.7,0,13.95884125
13.5,2.00,28,1553560,82.3,-9.3,49.5,0,124.6050181
5.6,47.00,39,13450,67.8,12.5,43.7,0,0
120,83.00,30,446300,72.3,19,43.7,0,0.104548093
15,3.00,22,823290,49.7,27.3,35.6,0,2.84248912
29,203.00,25,143350,66.6,18.9,35.1,0,0
951,508.00,43,33720,78.1,9,75.6,0,0.6913295863
215,18.00,38,263310,78.2,19.1,54,0,6.79435525
12.5,55.00,26,120340,63,25,43.1,0,0.2150695815
9.5,19.00,15,1266700,20,27,32.2,0,7.076762428
410,226.00,18,910770,18.2,39.9,37.8,0,5.522258568
12.672,83.00,39,25220,68.5,9.7,39.1,0,17.84845325
450,15.00,40,365268,79.4,2.4,64.6,0,76.44870292
79.5,16.00,31,309500,56.1,24.2,43.1,0,0
320,287.00,23,770880,53,20.9,35.5,0,7.960946779
70,58.00,30,74340,77.9,31.5,43.7,0,3.928415066
24,20.00,22,452860,78,26,27.8,0,0
42,18.00,26,39730,51,36.9,35.7,0,0
220,26.00,31,1280000,74.7,25.9,49.2,0,0
356,368.00,26,298170,65.9,30.9,47.6,2,229.2984739
605,124.00,42,306230,70.8,7.1,55.4,0,2.695846509
245,111.00,46,91590,75.6,17.3,60.3,0,0.3019071171
201,248.00,32,11610,56.9,22.9,41.2,0,0.8262194462
250,84.00,43,230170,62.4,11.4,45.8,0,0.1067237987
1750,9.00,40,16376870,85.4,2.02,44.3,0,26.39948468
9.8,525.00,20,24670,81.1,26.5,34.2,0,33.571649
1.922,301.00,34,610,75.3,27.1,41.96,0,1.56659211
0.3,284.00,33,390,75.9,26.3,41.96,0,0.9099455418
1.638,566.00,47,60,78,6,31.1,0,31.51966259
785,16.00,32,2149690,26.6,24.5,49.3,0,0
23.5,87.00,19,192530,63.5,24,37.9,0,1.121620383
53,100.00,42,87460,63.9,11.5,52.3,0,14.67918668
1.6,214.00,34,460,43.8,20.8,31.9,0,3.987914775
382,8358.00,42,700,76.5,30.2,58.7,32,10.59540047
111,114.00,41,48088,71.8,9,47.9,0,74.72999377
59,103.00,45,20140,79.5,9,67.2,0,3.123857839
7.7,25.00,17,627340,76.1,29.2,16.6,0,25.88668255
350,49.00,28,1213090,47.7,29.8,54.8,1,3.124690315
1460,94.00,34,498800,65.9,16.4,65.9,0,0
91,341.00,34,62710,75.2,32.3,33.9,0,0
55,25.00,20,1765048,30.6,38,26.2,0,0
3.6,4.00,29,156000,75.9,29.9,36.5,0,0
575,25.00,41,410340,76.6,4.7,72.1,0,1178.862987
715,219.00,43,39516,78.6,9.5,67,0,0
605,673.00,42,35410,71.6,20.9,48.2,84,3.130935942
59,67.00,18,885800,87,25.9,36.4,0,0.2986157309
520,137.00,40,510890,53.9,35,73.2,2,14.30636286
5.4,152.00,19,54390,68.2,32.8,32.5,0,0
21,273.00,36,5130,74,17,36.1,0,0
40,76.00,33,155360,67.6,18.5,33.7,0,1.880231959
740,110.00,32,769630,67.5,8.7,52.4,0,2.564270698
28.5,229.00,17,199810,77,23,44.3,0,37.03814159
140,75.00,41,579320,74.6,6.4,38,0,0.5033592307
425,118.00,33,83600,92.3,21.9,46.7,0,0.9779342622
2910,281.00,40,241930,74.6,6.4,77.9,0,0
58,20.00,36,175020,66,28.7,41.3,0,455.1834253
21200,36.00,38,9147420,73.4,13.8,83.5,0,0.3269004157
55,79.00,28,425400,52.1,13.6,34.3,0,0.2736648235
280,32.00,30,882050,79.5,24.8,23,0,1.704646184
255,314.00,32,310070,73.8,24.2,49.1,5,174.7651933
27.5,25.00,18,743390,87.8,25,28.7,0,170.7758005
29,38.00,19,386850,73,22,38.2,0,0.171422126
0.533,96.00,34,750,73,24,24,0,0.2519232768
1.186,327.00,32,348.5,67,26,27.5,0,0.1674082349
14.72,39.00,17.6,801590,76,25,26.5,0,0.6876792998
40.41,95.00,25.6,185180,68,9,19.9,0,0
2.581,89.00,20.8,15010,80,27.5,26,0,0.7247493696
1.871,17.00,25.5,22970,88,24,31.8,0,5.716376275
17.95,31.00,24.4,236800,64,23,43.1,0,3.215265675
48.36,4.00,28.8,1760000,62,15,25.7,0,26.78474022
14.62,590.00,17.4,2402,55,10,41.96,0,0
1.458,54.00,18.8,36125,55,25,20,0,3.681366355
17.16,16.00,16,1240000,20,27,29,0,4.650973742
1.011,204.00,35.5,269.4,75,25,26.2,0,255.9879384
7.939,159.00,29.1,10890,74.7,9.22,41.96,0,3.166624925
71.21,83.00,29,676575,64,27.5,41.96,0,135.4822986
18.62,4.00,24,600370,57,31,31.1,0,0.1792692823
3.037,427.00,17.3,27834,80,24.4,22.8,0,0.3516676431
4.085,111.00,19.4,71740,67,27,38.2,0,0
7.065,161.00,17.2,118480,80,26,28,0,0.7840963309
12,18.00,19,619475,46.5,29.9,21.7,0,0
0.909,2.00,28.4,266000,67,17.5,41.96,0,0
0.4223,227.00,18.6,1000,84,26,41.96,0,0.163185778
26.91,56.00,20.2,527968,65,16,18.5,0,0.2018445361