Country,humidityNormalized,tempCNormalized,GDPNormalized,PopulationDensityNormalized,MedianAgeNormalized,LandAreaNormalized,GHSINormalized,SARSDeathsNormalized,PerCapitaCOVIDDeathsNormalized
Yemen,0.5,-0.4,-0.2292870613,-0.1642947743,-1.143617021,-0.08782643291,-1.684255869,-0.09237583959,-0.2780959703
Albania,0.80625,-0.605,-0.2349547746,-0.1422550669,0.5372340426,-0.3529071844,0.7854117309,-0.09237583959,-0.2004398236
Mali,-2.3125,0.7,-0.2342166068,-0.1822863723,-1.590425532,0.2892371781,-0.9304329098,-0.09237583959,-0.2721537631
Kuwait,-0.45,-0.01,-0.1721093904,-0.08153342389,0.6436170213,-0.3579803685,0.297221624,-0.09237583959,-0.25595639
Chad,-2.1875,0.8,-0.2370277116,-0.1836357421,-1.484042553,0.2994047286,-0.9447914423,-0.09237583959,-0.2780959703
Cyprus,0.88125,-0.46,-0.2302527466,-0.1305605282,0.6436170213,-0.3625239926,0.0746643693,-0.09237583959,-0.1926665485
Iraq,-0.95,0.03,-0.1286282718,-0.1476525463,-1.058510638,-0.1374186606,-1.160169431,-0.09237583959,-0.2603593139
El Salvador,0.3125,0.3,-0.2297471522,-0.04869875768,-0.3138297872,-0.3564446447,0.1608155646,-0.09237583959,-0.2688197722
Germany,1.075,-1.15,1.799708778,-0.08153342389,1.60106383,-0.1828337196,1.725895613,-0.09237583959,0.2382357247
Switzerland,1.35,-1.05,0.1186073908,-0.0909790128,1.281914894,-0.3464910364,1.797688276,-0.09237583959,1.189778693
Ecuador,1.015625,-0.073,-0.1877828169,-0.1575479251,-0.3138297872,-0.2358956238,0.5843922751,-0.09237583959,-0.02476270275
Uganda,1.25,0.3,-0.2284831662,-0.08648111332,-1.484042553,-0.2616057581,0.1679948309,-0.09237583959,-0.2780959703
Vietnam,1.05,0.42,-0.1139660342,-0.04824896773,0.1117021277,-0.203216481,0.5125996123,0.01102223472,-0.2780959703
Madagascar,1.5625,0.7,-0.2364209983,-0.1678930939,-1.164893617,-0.05932181094,-0.1335343528,-0.09237583959,-0.2780959703
Ethiopia,-0.0375,0.26,-0.1953667329,-0.1377571674,-1.271276596,0.1621427966,-0.09763802139,-0.09237583959,-0.2778716732
Peru,1.10625,0.59,-0.1316618382,-0.1777884728,0.005319148936,0.310419575,0.5197788786,-0.09237583959,-0.1519234907
Tanzania,1.875,0.59,-0.213062537,-0.1593470849,-1.377659574,0.1016670534,-0.3991672051,-0.09237583959,-0.2766570409
Senegal,0.40625,0.4,-0.2310111382,-0.1503512859,-1.271276596,-0.2654609543,-0.2914782109,-0.09237583959,-0.275529269
Austria,0.521875,-1.053,-0.01082477615,-0.1404559071,1.281914894,-0.3237766226,1.187450643,-0.09237583959,0.190494014
Maldives,1.13125,0.83,-0.2399601592,0.621038475,-0.1010638298,-0.3672582583,-0.5858281284,-0.09237583959,-0.2780959703
Iceland,1.10625,-1.93,-0.230404425,-0.1881336416,0.6436170213,-0.314328744,0.3115801565,-0.09237583959,-0.02621294946
Taiwan*,0.9125,0.09,0.06299200655,0.1132256236,1.175531915,-0.3486654094,0.4479862158,1.644711809,-0.2759306061
Denmark,1.54375,-1.38,-0.06492337717,-0.1278617885,1.175531915,-0.3449478988,2.04178333,-0.09237583959,0.2709651215
Australia,0.45,0.58,0.4902192763,-0.1881336416,0.75,3.700821069,2.40792591,-0.09237583959,-0.2555120546
Zambia,1.925,0.5,-0.2289887606,-0.1782382627,-1.377659574,0.0262524248,-0.9519707086,-0.09237583959,-0.2766933344
Uruguay,0.5625,0.87,-0.2135681314,-0.1804872125,0.5372340426,-0.2747335486,-0.04738315744,-0.09237583959,-0.2508777784
Poland,0.8625,-1.29,0.06299200655,-0.1337090579,1.175531915,-0.2052499911,0.9648933879,-0.09237583959,-0.187024988
Luxembourg,1.69375,-1.2,-0.2064392503,-0.08063384399,0.9627659574,-0.3660455661,0.1320984995,-0.09237583959,0.7929254998
US,1.025,-0.62,10.47570872,-0.1732905733,0.75,4.476689904,2.982267212,-0.09237583959,0.8864193347
Bahrain,0.40625,0.037,-0.2230227467,0.8175966823,0.1117021277,-0.3670146607,-0.1837892167,-0.09237583959,-0.2427361875
Ghana,0.9125,1.14,-0.2095233762,-0.1278617885,-0.9521276596,-0.2469210614,-0.4637806016,-0.09237583959,-0.2756064091
Congo (Brazzaville),1.4375,0.6,-0.2201408586,-0.1822863723,-1.271276596,-0.1865724126,-1.318113289,-0.09237583959,-0.2687499794
Norway,1.4,-1.76,-0.01537512577,-0.1827361622,0.9627659574,-0.1739858324,1.625385886,-0.09237583959,0.01046349086
Belize,1.9375,0.4,-0.2419466396,-0.1818365823,-0.579787234,-0.3552531349,-0.7294134539,-0.09237583959,-0.2348629395
Egypt,-0.30625,0.13,-0.1013261741,-0.1431546468,-0.6329787234,0.159733299,-0.1478928853,-0.09237583959,-0.2559219262
Nigeria,-2.425,1.99,-0.03559890185,-0.08783048316,-1.377659574,0.1148901647,-0.2986574772,-0.09237583959,-0.2771786438
Haiti,-0.9375,0.5,-0.2378366627,-0.003269972923,-0.7393617021,-0.3528224548,-0.7509512528,-0.09237583959,-0.2758345423
San Marino,1.3125,-1.4,-0.2420644431,0.06509809919,1.707446809,-0.3673853527,-0.7796683179,-0.09237583959,9.854622507
Nicaragua,0.375,0.5,-0.2365726767,-0.1647445643,-0.5265957447,-0.3036898852,0.08184363558,-0.09237583959,-0.2755009784
United Kingdom,1.1,-1.36,1.228387103,-0.06309203602,0.9627659574,-0.2393006941,2.580228301,-0.09237583959,1.922205288
Cote d'Ivoire,-0.19375,1.81,-0.2204244971,-0.1530500256,2.962765957,-0.1966536449,-0.4637806016,-0.09237583959,-0.2738599345
Timor-Leste,1.4375,0.75,-0.2415876675,-0.1494517061,-1.079787234,-0.3594684318,-1.145810898,-0.09237583959,-0.2780959703
Togo,0.7,1.28,-0.2401623969,-0.1211149393,-1.271276596,-0.3386143621,-0.67915859,-0.09237583959,-0.271866509
Kyrgyzstan,0.5375,-1.27,-0.2386708934,-0.1741901532,-0.5265957447,-0.2658475331,0.5269581449,-0.09237583959,-0.2688737869
Moldova,0.475,-0.95,-0.2368254739,-0.1341588478,0.75,-0.3500210828,0.06748510302,-0.09237583959,-0.1246825931
Fiji,1.5,0.5,-0.240061278,-0.167443304,-0.3138297872,-0.3577420665,-1.167348697,-0.09237583959,-0.2780959703
Namibia,-0.45625,0.73,-0.2353086907,-0.1881336416,-0.9521276596,0.06856426264,-0.4566013353,-0.09237583959,-0.2780959703
Benin,0.75,1.51,-0.2376344249,-0.140905697,-1.271276596,-0.3077039494,-0.9447914423,-0.09237583959,-0.2773869717
Djibouti,0.85625,0.73,-0.2418561382,-0.1701420437,-0.420212766,-0.3551419273,-1.346830354,-0.09237583959,-0.2606965132
Saint Kitts and Nevis,1.125,0.5,-0.2423814508,-0.09772586202,0.4840425532,-0.3672744628,-1.131452366,-0.09237583959,-0.2780959703
Malta,1.00625,-0.44,-0.2352581312,0.4312271169,1.281914894,-0.3672476671,-0.3345538086,-0.09237583959,-0.2196962327
Papua New Guinea,1.3125,0.6,-0.230758341,-0.1804872125,-0.9521276596,-0.1276006196,-1.016584105,-0.09237583959,-0.2780959703
Morocco,0.95625,-0.1,-0.1822212784,-0.1521504457,-0.1010638298,-0.1310745327,0.1249192333,-0.09237583959,-0.2443299394
Finland,1.51875,-1.72,-0.09576463569,-0.1813867924,1.281914894,-0.2064891613,1.919735803,-0.09237583959,-0.05936234374
South Africa,-0.58125,0.98,-0.06593456597,-0.167443304,-0.3138297872,0.2749867206,0.9218177902,-0.07169622473,-0.2696903008
Liechtenstein,1.375,-1.41,-0.2397503375,-0.08243300379,1.113829787,-0.3673323967,0.1105607007,-0.09237583959,-0.05266238426
Hungary,0.48125,-1.02,-0.1569415583,-0.141355487,1.281914894,-0.3194760665,0.86438366,-0.09237583959,-0.08857846035
Greece,0.5875,-0.51,-0.1306506494,-0.1530500256,1.60106383,-0.2991568522,0.8500251274,-0.09237583959,-0.1783137813
Guyana,1.30625,1.1,-0.240971348,-0.1876838516,-0.420212766,-0.2631732555,-0.7365927202,-0.09237583959,-0.2016009358
Burundi,-0.375,1.69,-0.2413571165,0.002577296403,-1.45212766,-0.3526773554,-1.375547419,-0.09237583959,-0.2773731136
Brazil,1.54375,0.58,0.7784080855,-0.1782382627,0.2180851064,4.058718848,1.273601838,-0.09237583959,-0.1672572942
Cameroon,0.525,1.51,-0.2236800194,-0.1642947743,-1.271276596,-0.1170888551,-0.5427525307,-0.09237583959,-0.2641729245
Guatemala,1,0.71,-0.1997654042,-0.1143680901,-0.8457446809,-0.3106694849,-0.6648000574,-0.09237583959,-0.2747375882
Israel,1.0375,-0.62,-0.05329470592,-0.009567032196,-0.1010638298,-0.3559574495,0.3833728193,-0.09237583959,-0.09537577502
Tunisia,0.6625,-0.15,-0.2226688306,-0.1552989754,0.2180851064,-0.2851446967,-0.5930073946,-0.09237583959,-0.2504596951
Slovakia,0.925,-1.1,-0.1867716281,-0.1382069574,1.069148936,-0.3419516487,0.426448417,-0.09237583959,-0.2560552129
Latvia,1.35625,-1.52,-0.2247923271,-0.175989313,1.388297872,-0.3344784991,1.503338359,-0.09237583959,-0.2370833163
Bosnia and Herzegovina,1.54375,-1.203,-0.2327807187,-0.1606964548,1.281914894,-0.3404095702,0.06030583674,-0.09237583959,-0.1444824061
Antigua and Barbuda,1.134375,0.58,-0.2420735438,-0.08917985301,0.3244680851,-0.3671841199,-0.9304329098,-0.09237583959,-0.01478280153
Central African Republic,-1.44375,2.02,-0.2417297396,-0.1858846918,-1.377659574,-0.03751188552,-1.052480436,-0.09237583959,-0.2780959703
Congo (Kinshasa),1.4375,0.5,-0.2181215146,-0.1722650522,-1.505319149,-0.3621400616,-1.109914567,-0.09237583959,-0.2756966857
Laos,0.4375,0.3,-0.2338171872,-0.175539523,-0.6968085106,-0.2420173365,0.08184363558,-0.09237583959,-0.2780959703
Malawi,1.4375,0.6,-0.2393205822,-0.1170668298,-1.462765957,-0.3046748666,-1.002225573,-0.09237583959,-0.2771973447
Algeria,0.29375,-0.04,-0.1528968031,-0.1813867924,-0.2074468085,0.8938569245,-1.318113289,-0.09237583959,-0.2012592579
Netherlands,1.31875,-1.1,0.2379276697,0.0390102822,1.281914894,-0.3495603657,2.415105176,-0.09237583959,1.692800486
Uzbekistan,-0.30625,-0.64,-0.2150849146,-0.1539496055,-0.3138297872,-0.1421423351,-0.549931797,-0.09237583959,-0.2765550913
Libya,0.3125,-0.5,-0.2184420614,-0.1876838516,-0.2287234043,0.564608338,-1.167348697,-0.09237583959,-0.2768450655
Saint Vincent and the Grenadines,1.18125,0.63,-0.2427409284,-0.06174266617,0.2180851064,-0.3672105979,0,-0.09237583959,-0.2780959703
Argentina,-0.8375,1.28,-0.01537512577,-0.1818365823,0.1117021277,1.081824219,1.194629909,-0.09237583959,-0.250139512
Mauritius,1.39375,0.82,-0.235460369,0.09208549607,0.6436170213,-0.3663421196,-0.5068561993,-0.09237583959,-0.2172688493
Kazakhstan,2.00625,-2.482,-0.1579527471,-0.1863344818,0.005319148936,1.062235798,-0.09045875512,-0.09237583959,-0.2693984226
Philippines,0.55625,1.09,-0.06290099956,-0.02396031053,-0.5265957447,-0.2095182441,0.4049106181,-0.05101660987,-0.2438185197
Monaco,0.325,-0.59,-0.2393534459,11.65663485,2.356382979,-0.3674159612,-0.6648000574,-0.09237583959,0.3790059945
Slovenia,1.40625,-1.1,-0.213062537,-0.1431546468,1.494680851,-0.3567517894,1.812046809,-0.09237583959,0.04025914473
Mexico,-0.9125,0.69,0.3638206758,-0.1597968749,-0.2074468085,0.6620208858,1.122837246,-0.09237583959,-0.2306303258
Afghanistan,-0.00625,-1.379,-0.2317695298,-0.1624956145,-1.377659574,-0.02168863502,-0.6935171226,-0.09237583959,-0.2701472137
Zimbabwe,1,0.2,-0.228230369,-0.1723909934,-1.271276596,-0.1625568701,-0.2699404121,-0.09237583959,-0.2763610495
Colombia,1.41875,0.11,-0.05582267793,-0.1687926738,0.005319148936,0.2201296082,0.1608155646,-0.09237583959,-0.2449869037
Eritrea,-0.4375,0.3,-0.2396062431,-0.1737403633,-1.271276596,-0.3139315741,-1.404264484,-0.09237583959,-0.2780959703
Syria,0.6875,-1.1,-0.2224615369,-0.1467529664,-0.5691489362,-0.2693532198,-1.583746141,-0.09237583959,-0.2766225402
Bolivia,0.85625,0.03,-0.223174425,-0.184535322,-0.5265957447,0.2062551382,-0.4422428028,-0.09237583959,-0.2530603535
Western Sahara,0.625,-0.25,-0.2424330214,-0.1885834315,-0.2712765957,-0.2265541868,0,-0.09237583959,-0.2780959703
Seychelles,-0.825,0.08,-0.2420836556,-0.09322796254,0.3244680851,-0.3671735287,-0.7222341877,-0.09237583959,-0.2780959703
Eswatini,1.35625,0.75,-0.240516313,5.223289224,-1.058510638,-0.3583086956,-0.7796683179,-0.09237583959,-0.2706872489
Bangladesh,-0.915625,1.028,-0.0982926077,0.3795012729,-0.3138297872,-0.2984843111,-0.499676933,-0.09237583959,-0.2723549414
Equatorial Guinea,1.35,0.87,-0.2359659634,-0.166993514,-0.9521276596,-0.3525629704,-1.849378993,-0.09237583959,-0.2780959703
Sri Lanka,1.1375,1.23,-0.1968835161,-0.03610463913,0.3244680851,-0.3342084235,-0.5786488621,-0.09237583959,-0.2752861527
Kosovo,74.7,-1.078,-0.2388786927,-0.1179664097,-0.1968085106,-0.3616502187,0,-0.09237583959,-0.2223424669
Venezuela,79.5,0.48,-0.1013261741,-0.1750897331,-0.1010638298,0.09968120371,-1.361188886,-0.09237583959,-0.2750732702
Angola,80,0.5,-0.1923331665,-0.1777884728,-1.484042553,0.2927852296,-1.203245028,-0.09237583959,-0.2775729215
Botswana,57,1.1,-0.2334784389,-0.1876838516,-0.7393617021,-0.04948523537,-0.7796683179,-0.09237583959,-0.2744409128
Cambodia,55.5,1.55,-0.2308594599,-0.1467529664,-0.5265957447,-0.2739392087,-0.1981477493,-0.09237583959,-0.2780959703
Burma,64,0.75,-0.2068892293,-0.1521504457,-0.2074468085,-0.009130121448,0,-0.09237583959,-0.2773061004
"Korea, South",63.5,-1.41,0.6115619328,0.04755629121,1.388297872,-0.315928015,2.027424797,-0.09237583959,-0.2383626757
Honduras,69.1,0.85,-0.2303033061,-0.1494517061,-0.7393617021,-0.3081646665,-1.030942638,-0.09237583959,-0.2381766417
Dominica,73,0.4,-0.2426231249,-0.1463031764,0.3244680851,-0.3670199563,-1.289396224,-0.09237583959,-0.2780959703
Belgium,78.4,-1.05,0.0260836152,-0.01721346131,1.175531915,-0.3513820518,1.3669323,-0.09237583959,4.170262698
Bhutan,73.68,-1.133,-0.2416134529,-0.1804872125,-0.3138297872,-0.3472318907,-0.1191758202,-0.09237583959,-0.2780959703
Italy,64.8,-0.42,0.7834640295,-0.09682628213,1.707446809,-0.2116523706,1.022327518,-0.09237583959,3.225895745